"","Sample","Alteromonadales","Bacteroidia","Bdellovibrionota","Chloroflexi","Desulfobacterota","Gammaproteobacteria","Myxococcota","Nitrososphaeria","Opitutales","Planctomycetales","Polaribacter","Rhodobacteraceae","SAR11_clade","SAR202_clade","Verrucomicrobiae"
"21","HG9 MESO",6.36387729410985,6.06903862717816,0.313059033989267,3.47180812297091,0.336248592062546,20.9103557940767,0.265023520837474,9.24932087722785,0.525077850659246,2.86391042204996,1.29695885509839,0.314715430994501,8.79215530378321,2.92850990525409,4.15755648313788
"22","HG9 SRF",0.606235116499868,67.6306246011611,0.0272377780198914,0,0.00622577783311803,14.4329094616259,0,0.0894955563510716,8.01024140453548,0.0116733334370963,42.3368457096609,3.68566047720587,4.78606670920948,0,8.16899873927999
"23","N4 BATHY",5.85564179734939,11.0935107450235,0.673214002851259,7.50215604484573,0.390728127145045,20.4014643504585,0.343207138708485,9.28595314782548,1.29802699896158,1.46875055001144,2.00292166077054,0.0668813911329356,2.64797507788162,7.2751113223155,4.0463241635426
"24","N4 EPI",0.497961023791471,27.6706489887088,0.178282341851267,0.118171820460802,0.0136614821341967,32.5983455945135,0.00409844464025902,1.37776047323374,8.66957656236125,0.359296980129374,10.9981761921351,2.47955900735671,13.3356557852961,0.0833350410186001,10.6204362111245
"25","N4 MESO",2.12416044190572,9.20469524825811,0.380390433745528,3.69593873579813,0.347749670453832,20.5875337392505,0.342728014562802,12.5390747599021,1.45879103634423,1.57428912183793,1.70736300295022,0.262381520306321,5.45100746971314,3.30299416232503,5.48866988889586
"26","N4 SRF",0.955405699369154,55.0985425277355,0.120078311942571,0,0.00435066347618012,17.1407439634544,0,0.0504676963236894,12.0304546443333,0.0217533173809006,22.5373069393082,5.36349793343485,7.78159669349576,0,12.2184033065042
"27","N5 BATHY",6.46901286258534,9.9260684244276,0.643129267096677,4.93285805891894,0.525253668288635,21.0035456980121,0.450756289841952,10.8860473011203,2.29055863603787,1.348496850364,2.12553279770661,0.0490362491041455,6.42374863264305,4.67353174154125,5.38738636792275
"28","N5 EPI",0.376592082616179,27.2915662650602,0.0667814113597246,0.0605851979345955,0.025473321858864,27.5290877796902,0.00275387263339071,2.52254733218589,10.144578313253,0.254044750430293,9.59931153184165,3.03201376936317,14.6740103270224,0.0385542168674699,11.0760757314974
"29","N5 MESO",6.81865806127153,11.2079683723789,0.403727141919171,3.27731444616739,0.194180182445553,23.6341030691645,0.180210385147311,10.7609348588352,4.6044451895003,1.72946090552226,2.85961750694997,0.407918081108643,5.70247125714206,2.88755710154646,8.08990961541148
"30","N5 SRF",0.606987304235011,70.4950884996757,0.00926698174404596,0,0,15.0820127884348,0,0.0208507089241034,7.87345936428505,0,44.3749420813641,2.34222963580762,3.23996849226207,0,7.94180335464739
"31","S3 BATHY",1.93158530818139,5.91245862014608,1.01203299879145,3.49219694183175,0.87751563238926,17.7026956019127,0.41721401923178,10.1854868372655,0.234354474278808,1.66044874152698,0.286900320529662,0.0987861909516053,5.04335032315695,3.27780988912826,7.59182386632337
"32","S3 MESO",0.97715541472888,6.34844380845301,0.383298410589257,3.41391117698165,0.389431185158686,16.6525272141872,0.254510144631267,12.2215975877753,0.248377370061839,1.73046455767363,0.609188940563193,0.273930597434456,8.78826595799049,2.84151888383503,4.22445954924107
"33","S3 SRF",0.384748809486266,44.0308745151219,0,0,0.00236525907471065,15.6903402819389,0,0.00551893784099152,10.7398530385695,0.00709577722413195,8.7435743795137,4.9607366993598,14.3145479201489,0,11.9879214103251
