"","StationName","Depth","Domain","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume","conc.DAPI","conc.FISH"
"168","EG4","EPI","CREN",32,28,86,3,30,285277.898078051,9951.55458411807
"169","EG4","EPI","CREN",32,29,75,2,30,248788.864602952,6634.36972274538
"170","EG4","EPI","CREN",32,30,61,4,30,202348.276543734,13268.7394454908
"171","EG4","EPI","CREN",32,31,48,2,30,159224.873345889,6634.36972274538
"172","EG4","EPI","CREN",32,32,85,2,30,281960.713216679,6634.36972274538
"173","EG4","EPI","CREN",32,33,61,2,30,202348.276543734,6634.36972274538
"174","EG4","EPI","CREN",32,34,75,4,30,248788.864602952,13268.7394454908
"175","EG4","EPI","CREN",32,35,82,3,30,272009.158632561,9951.55458411807
"176","EG4","EPI","CREN",32,36,64,1,30,212299.831127852,3317.18486137269
"177","EG4","EPI","CREN",32,37,64,2,30,212299.831127852,6634.36972274538
"178","EG4","EPI","CREN",32,38,72,5,30,238837.310018834,16585.9243068634
"179","EG4","EPI","CREN",32,39,72,4,30,238837.310018834,13268.7394454908
"180","EG4","EPI","CREN",32,41,50,2,30,165859.243068635,6634.36972274538
"181","EG4","EPI","CREN",32,43,50,7,30,165859.243068635,23220.2940296088
"182","EG4","EPI","CREN",32,44,97,4,30,321766.931553151,13268.7394454908
"183","EG4","EPI","CREN",32,46,50,1,30,165859.243068635,3317.18486137269
"184","EG4","EPI","CREN",32,47,74,4,30,245471.679741579,13268.7394454908
"185","EG4","EPI","CREN",32,53,71,2,30,235520.125157461,6634.36972274538
"186","EG4","EPI","CREN",32,54,70,0,30,232202.940296088,0
"187","EG4","EPI","CREN",32,55,87,6,30,288595.082939424,19903.1091682361
"188","EG4","MESO","CREN",29,1,126,0,130,96453.5290460675,0
"189","EG4","MESO","CREN",29,2,101,0,130,77315.9240766096,0
"190","EG4","MESO","CREN",29,3,84,0,130,64302.3526973783,0
"191","EG4","MESO","CREN",29,4,101,1,130,77315.9240766096,765.504198778313
"192","EG4","MESO","CREN",29,5,100,1,130,76550.4198778313,765.504198778313
"193","EG4","MESO","CREN",29,6,116,1,130,88798.4870582843,765.504198778313
"194","EG4","MESO","CREN",29,7,120,0,130,91860.5038533976,0
"195","EG4","MESO","CREN",29,8,100,1,130,76550.4198778313,765.504198778313
"196","EG4","MESO","CREN",29,10,128,0,130,97984.5374436241,0
"197","EG4","MESO","CREN",29,11,132,1,130,101046.554238737,765.504198778313
"198","EG4","MESO","CREN",29,12,143,1,130,109467.100425299,765.504198778313
"199","EG4","MESO","CREN",29,13,115,0,130,88032.982859506,0
"200","EG4","MESO","CREN",29,14,143,0,130,109467.100425299,0
"201","EG4","MESO","CREN",29,15,132,0,130,101046.554238737,0
"202","EG4","MESO","CREN",29,16,51,0,130,39040.714137694,0
"203","EG4","MESO","CREN",29,17,123,1,130,94157.0164497325,765.504198778313
"204","EG4","MESO","CREN",29,18,140,2,130,107170.587828964,1531.00839755663
"205","EG4","MESO","CREN",29,19,114,0,130,87267.4786607277,0
"206","EG4","MESO","CREN",29,20,119,0,130,91094.9996546193,0
"207","EG4","MESO","CREN",29,21,127,0,130,97219.0332448458,0
"208","EG4","MESO","CREN",29,22,146,1,130,111763.613021634,765.504198778313
"209","EG4","MESO","CREN",29,23,116,0,130,88798.4870582843,0
"210","EG4","MESO","CREN",29,24,88,0,130,67364.3694924915,0
"211","EG4","MESO","CREN",29,25,138,0,130,105639.579431407,0
"212","EG4","MESO","CREN",29,27,113,0,130,86501.9744619494,0
"213","EG4","MESO","CREN",29,28,147,0,130,112529.117220412,0
"214","EG4","MESO","CREN",29,29,118,0,130,90329.495455841,0
"215","EG4","MESO","CREN",29,30,128,1,130,97984.5374436241,765.504198778313
"216","EG4","MESO","CREN",29,31,110,0,130,84205.4618656144,0
"217","EG4","MESO","CREN",29,33,94,0,130,71957.3946851614,0
"218","EG4","MESO","CREN",29,35,91,0,130,69660.8820888265,0
"219","EG4","MESO","CREN",29,36,105,1,130,80377.9408717229,765.504198778313
"220","EG4","MESO","CREN",29,37,110,0,130,84205.4618656144,0
"221","EG4","MESO","CREN",29,38,91,0,130,69660.8820888265,0
"222","EG4","MESO","CREN",29,39,126,1,130,96453.5290460675,765.504198778313
"223","EG4","MESO","CREN",29,40,88,1,130,67364.3694924915,765.504198778313
"224","EG4","MESO","CREN",29,41,121,0,130,92626.0080521759,0
"225","EG4","MESO","CREN",29,42,124,1,130,94922.5206485108,765.504198778313
"226","EG4","MESO","CREN",29,43,118,1,130,90329.495455841,765.504198778313
"227","EG4","MESO","CREN",29,44,73,0,130,55881.8065108169,0
"228","EG4","MESO","CREN",29,47,145,1,130,110998.108822855,765.504198778313
"229","EG4","MESO","CREN",29,48,88,0,130,67364.3694924915,0
"230","EG4","MESO","CREN",29,49,104,0,130,79612.4366729446,0
"231","EG4","MESO","CREN",29,50,111,2,130,84970.9660643928,1531.00839755663
"232","EG4","MESO","CREN",29,52,133,0,130,101812.058437516,0
